endTime,artistName,trackName,msPlayed,,,,,,,,,,,
8/20/2019 16:19,Looptroop Rockers,Fever,302280,,,,,,,,,,,
8/20/2019 16:21,JAY1,Your Mrs,128319,,,,,,,,,,,
8/20/2019 18:33,Kollektiv Turmstrasse,Sorry I Am Late - Extended,373877,,,,,,,,,,,
8/20/2019 18:46,Kollektiv Turmstrasse,Lüchttoorn,0,,,,,,,,,,,
8/20/2019 18:46,Kollektiv Turmstrasse,Last Day - David August Revision,229568,,,,,,,,,,,
8/20/2019 18:46,Kollektiv Turmstrasse,Sorry I Am Late - Extended,0,,,,,,,,,,,
8/20/2019 18:52,Kollektiv Turmstrasse,Lüchttoorn,296714,,,,,,,,,,,
8/20/2019 18:53,Kollektiv Turmstrasse,Lüchttoorn,5002,,,,,,,,,,,
8/20/2019 18:54,Kollektiv Turmstrasse,Sorry I Am Late - Extended,69450,,,,,,,,,,,
8/20/2019 18:59,Ant Wan,Mama,209411,,,,,,,,,,,
8/20/2019 18:59,Frank Ocean,Forrest Gump,4181,,,,,,,,,,,
8/20/2019 18:59,Nina Simone,Baltimore,15336,,,,,,,,,,,
8/20/2019 19:04,Frank Ocean,Ivy,249191,,,,,,,,,,,
8/20/2019 19:09,Frank Ocean,Novacane,302346,,,,,,,,,,,
8/20/2019 19:16,Frank Ocean,Nikes,314075,,,,,,,,,,,
8/20/2019 19:19,Frank Ocean,Futura Free,146416,,,,,,,,,,,
8/20/2019 19:23,Frank Ocean,Lens,227654,,,,,,,,,,,
8/20/2019 19:24,Frank Ocean,Start,40314,,,,,,,,,,,
8/20/2019 19:27,Frank Ocean,Lost,234093,,,,,,,,,,,
8/20/2019 19:32,Frank Ocean,Self Control,249667,,,,,,,,,,,
8/20/2019 19:37,Frank Ocean,Nights,307151,,,,,,,,,,,
8/21/2019 6:24,Frank Ocean,Nikes,314075,,,,,,,,,,,
8/21/2019 6:28,Frank Ocean,Monks,200240,,,,,,,,,,,
8/21/2019 6:30,Frank Ocean,Pink Matter,4969,,,,,,,,,,,
8/21/2019 6:30,Frank Ocean,Good Guy,2879,,,,,,,,,,,
8/21/2019 6:30,Frank Ocean,Monks,4783,,,,,,,,,,,
8/21/2019 6:30,Frank Ocean,White,4806,,,,,,,,,,,
8/21/2019 6:30,Frank Ocean,White Ferrari,975,,,,,,,,,,,
8/21/2019 6:30,Frank Ocean,White Ferrari,114956,,,,,,,,,,,
8/21/2019 6:30,Frank Ocean,Thinkin Bout You,2020,,,,,,,,,,,
8/21/2019 6:30,Frank Ocean,Ivy,1996,,,,,,,,,,,
8/21/2019 6:30,Frank Ocean,Crack Rock,4690,,,,,,,,,,,
8/21/2019 6:30,Frank Ocean,Nikes,9334,,,,,,,,,,,
8/21/2019 6:30,Frank Ocean,Nights,2298,,,,,,,,,,,
8/21/2019 6:31,Frank Ocean,Fertilizer,27852,,,,,,,,,,,
8/21/2019 6:31,Frank Ocean,Sierra Leone,5166,,,,,,,,,,,
8/21/2019 6:35,Frank Ocean,Lost,239433,,,,,,,,,,,
8/21/2019 6:36,Frank Ocean,White,76280,,,,,,,,,,,
8/21/2019 6:42,Frank Ocean,Monks,26084,,,,,,,,,,,
8/21/2019 6:43,Frank Ocean,Lost,1280,,,,,,,,,,,
8/21/2019 6:48,Frank Ocean,Lost,304856,,,,,,,,,,,
8/21/2019 6:52,Ant Wan,Mama,222089,,,,,,,,,,,
8/21/2019 6:52,Frank Ocean,Pyramids,1514,,,,,,,,,,,
8/21/2019 6:55,Kollektiv Turmstrasse,Sorry I Am Late - Extended,206762,,,,,,,,,,,
8/21/2019 18:48,Kollektiv Turmstrasse,Sorry I Am Late - Extended,431040,,,,,,,,,,,
8/21/2019 18:53,Frank Ocean,Lost,262237,,,,,,,,,,,
8/21/2019 18:57,Ant Wan,Mama,278254,,,,,,,,,,,
8/21/2019 18:57,Frank Ocean,Self Control,7402,,,,,,,,,,,
8/21/2019 18:57,Frank Ocean,Lost,1002,,,,,,,,,,,
8/21/2019 18:58,Frank Ocean,Bad Religion,5610,,,,,,,,,,,
8/21/2019 19:01,Frank Ocean,Pyramids,188160,,,,,,,,,,,
8/22/2019 6:07,Frank Ocean,Pyramids,11284,,,,,,,,,,,
8/22/2019 6:11,Frank Ocean,Lost,234093,,,,,,,,,,,
8/22/2019 6:14,Ant Wan,Mama,209411,,,,,,,,,,,
8/22/2019 6:17,Blanco,Salomon Rondon,173588,,,,,,,,,,,
8/22/2019 6:21,Russ Millions,Keisha & Becky - Remix,252906,,,,,,,,,,,
8/22/2019 6:22,Jme,96 F**kries,18485,,,,,,,,,,,
8/22/2019 6:23,Jme,Taking Over,69079,,,,,,,,,,,
8/22/2019 6:27,MorMor,Waiting on the Warmth,4249,,,,,,,,,,,
8/22/2019 6:27,MorMor,Pass The Hours,4226,,,,,,,,,,,
8/22/2019 6:27,Mwuana,Me so Nice,534,,,,,,,,,,,
8/22/2019 6:27,MorMor,Heaven's Only Wishful,243216,,,,,,,,,,,
8/22/2019 6:27,MorMor,Whatever Comes to Mind,2484,,,,,,,,,,,
8/22/2019 6:37,MorMor,Waiting on the Warmth,264475,,,,,,,,,,,
8/22/2019 6:40,Damso,Θ. Macarena,206840,,,,,,,,,,,
8/22/2019 6:41,Ant Wan,Mama,6825,,,,,,,,,,,
8/22/2019 6:42,Stromae,tous les mêmes,60160,,,,,,,,,,,
8/22/2019 6:48,The Blaze,Territory,370068,,,,,,,,,,,
8/22/2019 6:53,The Blaze,Heaven,109325,,,,,,,,,,,
8/22/2019 8:29,Frank Ocean,Pink Matter,182189,,,,,,,,,,,
8/22/2019 8:29,The Blaze,Territory,78037,,,,,,,,,,,
8/22/2019 8:33,The Blaze,Heaven,169856,,,,,,,,,,,
8/22/2019 8:33,Frank Ocean,Lost,3690,,,,,,,,,,,
8/22/2019 9:03,Frank Ocean,Lost,230656,,,,,,,,,,,
8/22/2019 9:13,Frank Ocean,Self Control,249667,,,,,,,,,,,
8/22/2019 9:14,Frank Ocean,Monks,32350,,,,,,,,,,,
8/22/2019 9:19,The Blaze,Heaven,219280,,,,,,,,,,,
8/22/2019 9:27,Frank Ocean,Lost,199196,,,,,,,,,,,
8/22/2019 9:33,The Blaze,Heaven,417,,,,,,,,,,,
8/22/2019 9:33,The Blaze,Territory,276373,,,,,,,,,,,
8/22/2019 12:01,The Blaze,Heaven,218873,,,,,,,,,,,
8/22/2019 12:20,The Blaze,Juvenile,203693,,,,,,,,,,,
8/22/2019 15:52,The Blaze,Heaven,210206,,,,,,,,,,,
8/22/2019 15:57,Stormzy,Crown,4416,,,,,,,,,,,
8/22/2019 15:57,Frank Ocean,Self Control,25527,,,,,,,,,,,
8/22/2019 15:57,Frank Ocean,Lost,234093,,,,,,,,,,,
8/22/2019 16:00,Stormzy,Vossi Bop,196266,,,,,,,,,,,
8/22/2019 16:04,Mwuana,Craftmanship,212055,,,,,,,,,,,
8/22/2019 16:04,The Blaze,She,56331,,,,,,,,,,,
8/22/2019 16:08,RAY BLK,My Hood,254730,,,,,,,,,,,
8/22/2019 16:13,Cherrie,Aldrig Igen (må sådär),261635,,,,,,,,,,,
8/22/2019 16:17,Octavian,Lightning,235342,,,,,,,,,,,
8/22/2019 16:18,Stormzy,Vossi Bop (Remix) [feat. Aden x Asme],67035,,,,,,,,,,,
8/22/2019 16:18,Artigeardit,Joggingsæt,3413,,,,,,,,,,,
8/22/2019 16:18,Tom Zanetti,Make It Look Good (feat. Preditah),554,,,,,,,,,,,
8/22/2019 16:18,TopGunn,Nik & Jay (feat. Benjamin Hav),2538,,,,,,,,,,,
8/22/2019 16:18,Rejjie Snow,Egyptian Luvr (feat. Aminé and Dana Williams),1983,,,,,,,,,,,
8/22/2019 19:00,Skepta,Love Me Not,121088,,,,,,,,,,,
8/22/2019 19:03,Cherrie,Aldrig Igen (må sådär),231360,,,,,,,,,,,
8/22/2019 19:04,RAY BLK,My Hood,15402,,,,,,,,,,,
8/22/2019 19:04,Krawall,Try This Demo,1280,,,,,,,,,,,
8/22/2019 19:04,Kollektiv Turmstrasse,Sorry I Am Late - Extended,12010,,,,,,,,,,,
8/22/2019 19:06,Kylie Minogue,Step Back in Time - Mousse T's E-Funk,137557,,,,,,,,,,,
8/22/2019 19:06,Marie Davidson,Chasing The Light,4949,,,,,,,,,,,
8/23/2019 6:42,Kollektiv Turmstrasse,Sorry I Am Late - Extended,443669,,,,,,,,,,,
8/23/2019 6:45,Kylie Minogue,Step Back in Time - Mousse T's E-Funk,188138,,,,,,,,,,,
8/23/2019 10:35,The Blaze,Heaven,142506,,,,,,,,,,,
8/23/2019 10:42,Kollektiv Turmstrasse,Lüchttoorn,703,,,,,,,,,,,
8/23/2019 10:42,Kollektiv Turmstrasse,Sorry I Am Late - The Blaze Remix,703,,,,,,,,,,,
8/23/2019 10:42,Kollektiv Turmstrasse,Last Day - David August Revision,682,,,,,,,,,,,
8/23/2019 10:42,Kollektiv Turmstrasse,Last Day - David August Revision,2858,,,,,,,,,,,
8/23/2019 10:42,Kollektiv Turmstrasse,Sorry I Am Late - Extended,419328,,,,,,,,,,,
8/23/2019 11:12,The xx,Angels,2453,,,,,,,,,,,
8/23/2019 11:12,Kollektiv Turmstrasse,Sorry I Am Late - The Blaze Remix,13546,,,,,,,,,,,
8/23/2019 11:12,The xx,Intro,981,,,,,,,,,,,
8/23/2019 11:15,The xx,Angels,171653,,,,,,,,,,,
8/23/2019 11:19,The xx,Crystalised,201946,,,,,,,,,,,
8/23/2019 11:20,The xx,On Hold,73634,,,,,,,,,,,
8/23/2019 13:17,The xx,On Hold,3797,,,,,,,,,,,
8/23/2019 13:21,The Blaze,Heaven,219280,,,,,,,,,,,
8/23/2019 13:26,Frank Ocean,Lost,234093,,,,,,,,,,,
8/23/2019 13:30,Frank Ocean,Self Control,249667,,,,,,,,,,,
8/23/2019 13:31,Frank Ocean,Monks,78861,,,,,,,,,,,
8/23/2019 16:03,The Blaze,Heaven,219280,,,,,,,,,,,
8/23/2019 16:08,Frank Ocean,Lost,234093,,,,,,,,,,,
8/23/2019 16:13,Frank Ocean,Self Control,249667,,,,,,,,,,,
8/23/2019 16:22,Frank Ocean,Monks,200240,,,,,,,,,,,
8/23/2019 16:31,Frank Ocean,Bad Religion,4082,,,,,,,,,,,
8/23/2019 18:31,RAY BLK,My Hood,271956,,,,,,,,,,,
8/23/2019 18:36,BROCKHAMPTON,NO HALO,256556,,,,,,,,,,,
8/23/2019 18:39,BROCKHAMPTON,SUGAR,204533,,,,,,,,,,,
8/23/2019 18:40,BROCKHAMPTON,BOY BYE,30101,,,,,,,,,,,
8/23/2019 18:55,Kollektiv Turmstrasse,Sorry I Am Late - Extended,835,,,,,,,,,,,
8/23/2019 18:56,Marie Davidson,Chasing The Light,1904,,,,,,,,,,,
8/23/2019 18:58,Peggy Gou,Hungboo - DJ-Kicks,101877,,,,,,,,,,,
8/24/2019 8:48,Kollektiv Turmstrasse,Sorry I Am Late - Extended,451634,,,,,,,,,,,
8/24/2019 8:53,RAY BLK,My Hood,238628,,,,,,,,,,,
8/24/2019 8:56,Frank Ocean,Lost,188405,,,,,,,,,,,
8/24/2019 9:02,Kollektiv Turmstrasse,Sorry I Am Late - Extended,402410,,,,,,,,,,,
8/24/2019 9:05,Black Coffee,Drive (feat. Delilah Montagu) - Edit,164373,,,,,,,,,,,
8/24/2019 9:09,RAY BLK,My Hood,9962,,,,,,,,,,,
8/24/2019 9:10,Led Zeppelin,Ramble On - 1990 Remaster,263333,,,,,,,,,,,
8/24/2019 9:13,Urge Overkill,"Girl, You'll Be a Woman Soon",189626,,,,,,,,,,,
8/24/2019 9:14,Creedence Clearwater Revival,Bad Moon Rising,917,,,,,,,,,,,
8/24/2019 9:14,Dusty Springfield,Son Of A Preacher Man,65890,,,,,,,,,,,
8/24/2019 9:29,Led Zeppelin,No Quarter - Remaster,1450,,,,,,,,,,,
8/24/2019 9:32,The xx,Crystalised,201946,,,,,,,,,,,
8/24/2019 9:36,The xx,On Hold,224133,,,,,,,,,,,
8/24/2019 9:37,The xx,I Dare You,93921,,,,,,,,,,,
8/24/2019 9:42,SBTRKT,Trials of the Past,264120,,,,,,,,,,,
8/24/2019 9:45,SBTRKT,NEW DORP. NEW YORK,180575,,,,,,,,,,,
8/24/2019 9:48,SBTRKT,Pharaohs,218146,,,,,,,,,,,
8/24/2019 9:55,The Blaze,Heaven,219280,,,,,,,,,,,
8/24/2019 9:56,Frank Ocean,Lost,81034,,,,,,,,,,,
8/24/2019 10:00,Frank Ocean,Ivy,223445,,,,,,,,,,,
8/24/2019 10:02,Frank Ocean,White Ferrari,140271,,,,,,,,,,,
8/24/2019 10:09,Miriam Bryant,Du Med Dig,374437,,,,,,,,,,,
8/24/2019 10:11,Flume,Quits,152036,,,,,,,,,,,
8/24/2019 10:15,Damso,Θ. Macarena,206840,,,,,,,,,,,
8/24/2019 10:19,Russ Millions,Keisha & Becky - Remix,252906,,,,,,,,,,,
8/24/2019 10:22,Mwuana,Craftmanship,212055,,,,,,,,,,,
8/24/2019 10:25,Flume,Quits,152036,,,,,,,,,,,
8/24/2019 10:29,BROCKHAMPTON,I BEEN BORN AGAIN,219720,,,,,,,,,,,
8/24/2019 10:32,Modjo,Lady - Hear Me Tonight,58203,,,,,,,,,,,
8/24/2019 10:36,Burna Boy,Ye,6400,,,,,,,,,,,
8/24/2019 10:36,Stormzy,Vossi Bop,216038,,,,,,,,,,,
8/24/2019 14:45,Ant Wan,Mama,329280,,,,,,,,,,,
8/24/2019 14:49,RAY BLK,My Hood,214101,,,,,,,,,,,
8/24/2019 18:52,SBTRKT,Right Thing to Do,166651,,,,,,,,,,,
8/24/2019 19:05,Kollektiv Turmstrasse,Sorry I Am Late - Extended,405717,,,,,,,,,,,
8/24/2019 19:10,Adriatique,Mystery,187178,,,,,,,,,,,
8/24/2019 19:17,Adriatique,Voices From The Dawn,428939,,,,,,,,,,,
8/24/2019 19:26,Adriatique,Deep In The Three,499786,,,,,,,,,,,
8/24/2019 19:32,Adriatique,Love Modules,379634,,,,,,,,,,,
8/24/2019 19:39,Adriatique,Studies In Dance Theory,407903,,,,,,,,,,,
8/25/2019 8:59,Kenta,Just idag är jag stark,302107,,,,,,,,,,,
8/25/2019 9:05,RAY BLK,My Hood,341567,,,,,,,,,,,
8/25/2019 9:10,Jamie xx,Loud Places,305520,,,,,,,,,,,
8/25/2019 9:14,Billie Eilish,when the party's over,256277,,,,,,,,,,,
8/25/2019 9:21,Billie Eilish,bury a friend,193143,,,,,,,,,,,
8/25/2019 9:22,The Blaze,Territory,95496,,,,,,,,,,,
8/25/2019 9:27,Adriatique,Craft,372540,,,,,,,,,,,
8/25/2019 9:27,Frank Ocean,White Ferrari,248807,,,,,,,,,,,
8/25/2019 9:32,Frank Ocean,Nikes,314075,,,,,,,,,,,
8/25/2019 9:41,Frank Ocean,Ivy,233865,,,,,,,,,,,
8/25/2019 9:52,Ant Wan,Mama,236035,,,,,,,,,,,
8/25/2019 9:56,BROCKHAMPTON,BOY BYE,3669,,,,,,,,,,,
8/25/2019 9:56,Jme,Man Don't Care,78685,,,,,,,,,,,
8/25/2019 10:10,Blanco,Salomon Rondon,93290,,,,,,,,,,,
8/25/2019 10:10,Headie One,Both,2453,,,,,,,,,,,
8/25/2019 10:21,The Blaze,Heaven,3894,,,,,,,,,,,
8/25/2019 10:21,Frank Ocean,Good Guy,1407,,,,,,,,,,,
8/25/2019 10:21,Frank Ocean,Monks,149,,,,,,,,,,,
8/25/2019 10:21,Frank Ocean,Bad Religion,298,,,,,,,,,,,
8/25/2019 10:21,Frank Ocean,Pyramids,256,,,,,,,,,,,
8/25/2019 10:21,The Blaze,Territory,629973,,,,,,,,,,,
8/25/2019 10:21,Frank Ocean,Self Control,213,,,,,,,,,,,
8/25/2019 10:21,Frank Ocean,White Ferrari,661,,,,,,,,,,,
8/25/2019 10:21,Frank Ocean,Lost,1045,,,,,,,,,,,
8/25/2019 10:21,Frank Ocean,Nights,1066,,,,,,,,,,,
8/25/2019 10:26,Frank Ocean,Nights,307151,,,,,,,,,,,
8/25/2019 10:28,Frank Ocean,White Ferrari,106066,,,,,,,,,,,
8/25/2019 10:28,Frank Ocean,Ivy,1258,,,,,,,,,,,
8/25/2019 10:28,Frank Ocean,Nikes,661,,,,,,,,,,,
8/25/2019 10:31,Ant Wan,Mama,209411,,,,,,,,,,,
8/25/2019 10:36,Flume,Quits,263980,,,,,,,,,,,
8/25/2019 10:40,MorMor,Heaven's Only Wishful,243216,,,,,,,,,,,
8/25/2019 10:44,Mwuana,Craftmanship,270522,,,,,,,,,,,
8/25/2019 10:45,Jme,Man Don't Care,38602,,,,,,,,,,,
8/25/2019 10:47,BROCKHAMPTON,BOY BYE,142181,,,,,,,,,,,
8/25/2019 10:57,Blanco,Salomon Rondon,173588,,,,,,,,,,,
8/25/2019 11:20,Headie One,Both,213586,,,,,,,,,,,
8/25/2019 11:23,JAY1,Mocking It,168853,,,,,,,,,,,
8/25/2019 11:24,JAY1,Your Mrs,65656,,,,,,,,,,,
8/25/2019 11:28,RAY BLK,My Hood,271956,,,,,,,,,,,
8/25/2019 11:34,The Blaze,Territory,276373,,,,,,,,,,,
8/25/2019 11:37,The Blaze,Heaven,219280,,,,,,,,,,,
8/25/2019 11:38,Frank Ocean,Lost,16255,,,,,,,,,,,
8/25/2019 11:42,James Blake,Mile High (feat. Travis Scott & Metro Boomin),193600,,,,,,,,,,,
8/25/2019 13:42,James Blake,Barefoot In The Park (feat. ROSALÍA),132854,,,,,,,,,,,
8/25/2019 13:47,The Blaze,Territory,276373,,,,,,,,,,,
8/25/2019 13:51,The Blaze,Heaven,219280,,,,,,,,,,,
8/25/2019 13:54,Frank Ocean,Lost,225288,,,,,,,,,,,
8/25/2019 15:35,Mura Masa,I Don’t Think I Can Do This Again (with Clairo),11925,,,,,,,,,,,
8/26/2019 6:43,RAY BLK,My Hood,206442,,,,,,,,,,,
8/26/2019 6:47,Stormzy,Vossi Bop,221077,,,,,,,,,,,
8/26/2019 6:48,Kylie Minogue,Step Back in Time - Mousse T's E-Funk,37866,,,,,,,,,,,
8/26/2019 7:00,Kollektiv Turmstrasse,Sorry I Am Late - Extended,322282,,,,,,,,,,,
8/26/2019 13:59,Reyn,GÅ,1941,,,,,,,,,,,
8/26/2019 13:59,The Blaze,Territory,746,,,,,,,,,,,
8/26/2019 14:04,RAY BLK,My Hood,271956,,,,,,,,,,,
8/26/2019 14:08,The Blaze,Territory,276373,,,,,,,,,,,
8/26/2019 14:13,Flume,Quits,220797,,,,,,,,,,,
8/26/2019 14:22,The Blaze,Territory,276373,,,,,,,,,,,
8/26/2019 14:26,The Blaze,Heaven,219280,,,,,,,,,,,
8/26/2019 14:26,Frank Ocean,Lost,24495,,,,,,,,,,,
8/26/2019 14:31,Porches,Find Me - Baba Stiltz & Samo DJ Remix,275558,,,,,,,,,,,
8/26/2019 14:34,Baba Stiltz,Maze,202240,,,,,,,,,,,
8/26/2019 14:43,Baba Stiltz,Can't Help It,338162,,,,,,,,,,,
8/26/2019 14:50,Baba Stiltz,Showtime,11669,,,,,,,,,,,
8/26/2019 14:50,Baba Stiltz,Move / Close,432949,,,,,,,,,,,
8/26/2019 14:51,Baba Stiltz,Serve,45696,,,,,,,,,,,
8/26/2019 18:45,Baba Stiltz,Situation,16678,,,,,,,,,,,
8/26/2019 18:45,Rage Against The Machine,Killing In The Name,435600,,,,,,,,,,,
8/26/2019 18:46,Baba Stiltz,Baby,917,,,,,,,,,,,
8/26/2019 18:51,Metallica,Sad But True,319258,,,,,,,,,,,
8/26/2019 18:53,Mötley Crüe,Kickstart My Heart,112245,,,,,,,,,,,
8/27/2019 6:30,Baba Stiltz,Baby,341,,,,,,,,,,,
8/27/2019 6:33,Baba Stiltz,Baby,192321,,,,,,,,,,,
8/27/2019 6:39,Porches,Find Me - Baba Stiltz & Samo DJ Remix,330869,,,,,,,,,,,
8/27/2019 6:43,Baba Stiltz,Can't Help It,262720,,,,,,,,,,,
8/27/2019 6:46,Mura Masa,Love$ick (feat. A$AP Rocky),154111,,,,,,,,,,,
8/27/2019 11:05,J. Cole,G.O.M.D.,14336,,,,,,,,,,,
8/27/2019 11:05,Ross from Friends,Talk to Me You'll Understand,191103,,,,,,,,,,,
8/27/2019 11:11,Porches,Find Me - Baba Stiltz & Samo DJ Remix,205546,,,,,,,,,,,
8/27/2019 11:57,The Blaze,Heaven,0,,,,,,,,,,,
8/27/2019 11:57,The Blaze,Territory,501546,,,,,,,,,,,
8/27/2019 12:01,James Blake,Barefoot In The Park (feat. ROSALÍA),211200,,,,,,,,,,,
8/27/2019 12:19,Khalid,My Bad,163973,,,,,,,,,,,
8/27/2019 12:23,Deportees,Bright Eyes,279373,,,,,,,,,,,
8/27/2019 12:28,Markus Krunegård,O A O A E vi förlorade,286198,,,,,,,,,,,
8/27/2019 12:31,Mares,Penseldrag,189174,,,,,,,,,,,
8/27/2019 12:35,Petit Biscuit,We Were Young,214200,,,,,,,,,,,
8/27/2019 12:38,Olivia Nelson,Summertime,178625,,,,,,,,,,,
8/27/2019 12:42,LEISURE,Easy Way Out,232447,,,,,,,,,,,
8/27/2019 12:45,Laleh,City Of Angels,174094,,,,,,,,,,,
8/27/2019 13:00,Jarami,Bahía,197458,,,,,,,,,,,
8/27/2019 13:04,Joe Janiak,Heaven Knows,209581,,,,,,,,,,,
8/27/2019 13:06,Lemaitre,Fast Lovers,2809,,,,,,,,,,,
