endTime,artistName,trackName,msPlayed
2019-08-19 09:30,Lorentz,När allt det här är över,422192
2019-08-19 09:34,Miriam Bryant,Du Med Dig,195133
2019-08-19 09:49,Frank Ocean,Pyramids,582765
2019-08-19 09:54,Frank Ocean,Ivy,1681
2019-08-19 09:54,Lorentz,När allt det här är över,267045
2019-08-19 10:00,Håkan Hellström,En midsommarnattsdröm,390490
2019-08-19 10:06,Håkan Hellström,Försent för Edelweiss,326555
2019-08-19 10:07,Håkan Hellström,Gårdakvarnar och skit,70826
2019-08-19 10:12,Markus Krunegård,Jag är en vampyr,316202
2019-08-19 10:12,Håkan Hellström,Gårdakvarnar och skit,2325
2019-08-19 10:13,Håkan Hellström,Du kan gå din egen väg,61760
2019-08-19 10:38,Lorentz,Schnip schnip,230266
2019-08-19 10:38,Marie Davidson,Chasing The Light,2111
2019-08-19 10:38,DJ T.,Nomads,4416
2019-08-19 10:38,Lorentz,"Där dit vinden kommer (feat. Jaqe, Duvchi, jj & Joy)",3903
2019-08-19 10:38,Lorentz,The.OC.S01E01.DVD-Rip.Xvid (feat. Say Lou Lou),8401
2019-08-19 10:42,Kylie Minogue,Step Back in Time - Mousse T's E-Funk,220970
2019-08-19 10:43,Marie Davidson,Chasing The Light,59007
2019-08-19 10:47,Ross from Friends,Project Cybersyn,3711
2019-08-19 10:47,Jimi Tenor,Jori's House,1450
2019-08-19 10:47,Marie Davidson,Chasing The Light,11157
2019-08-19 10:47,Ross from Friends,John Cage,618
2019-08-19 10:47,Jimi Tenor,Are We It? (Alone In The Universe),2645
2019-08-19 10:47,Krawall,Try This Demo,148074
2019-08-19 10:54,Ross from Friends,Talk to Me You'll Understand,308437
2019-08-19 10:56,Ross from Friends,Thank God I'm A Lizard,93781
2019-08-19 11:00,Llojd,Fejka Det För Ikväll,223844
2019-08-19 11:04,Llojd,V.22,276324
2019-08-19 11:05,Llojd,Om vi faller,24826
2019-08-19 11:05,Llojd,Jag kommer älska mitt liv snart,5461
2019-08-19 11:07,Jme,Man Don't Care,102570
2019-08-19 11:13,Ison & Fille,Stationen,372136
2019-08-19 11:13,Dree Low,Santa Lucia,7338
2019-08-19 11:13,Sebastian Stakset,Mamma förlåt,896
2019-08-19 11:13,Erik Lundin,Annie Lööf,27263
2019-08-19 11:14,Einár,Min Nivå,9343
2019-08-19 11:17,Ant Wan,Mama,133141
2019-08-19 11:17,Legrand Bemba-Debert - Fatoumata Diawara,Voici mon village,15338
2019-08-19 11:24,Ant Wan,Mama,367018
2019-08-19 11:24,Jme,Man Don't Care,1408
2019-08-19 11:26,Legrand Bemba-Debert - Fatoumata Diawara,Voici mon village,145002
2019-08-19 11:33,Ant Wan,Mama,420867
2019-08-19 11:34,Jme,Man Don't Care,38280
2019-08-19 11:42,Ol' Dirty Bastard,Harlem World,1536
2019-08-19 11:42,JAY1,Your Mrs,158634
2019-08-19 12:08,Looptroop Rockers,Reclaim the City,203477
2019-08-19 12:11,Ant Wan,Mama,198890
2019-08-19 12:11,Julio Bashmore,Au Seve,1621
2019-08-19 12:14,SBTRKT,Hold On,206600
2019-08-19 12:19,KAYTRANADA,GLOWED UP,298026
2019-08-19 12:23,Flume,Quits,231988
2019-08-19 12:25,AlunaGeorge,You Know You Like It - Bondax Remix,2133
2019-08-19 12:25,Disclosure,What's In Your Head,2496
2019-08-19 12:25,Shadow Child,23,97276
2019-08-19 12:25,Dusky,Careless,2240
2019-08-19 12:28,SBTRKT,Right Thing to Do,202573
2019-08-19 12:33,SBTRKT,Trials of the Past,264120
2019-08-19 12:37,SBTRKT,Never Never,237013
2019-08-19 12:41,Disclosure,You & Me - Baauer Remix,242056
2019-08-19 12:46,Disclosure,When A Fire Starts To Burn,283705
2019-08-19 12:56,Disclosure,Control,283039
2019-08-19 12:58,Last Japan,Float,164949
2019-08-19 13:01,Flume,Quits,152036
2019-08-19 13:04,Stormzy,Vossi Bop,167932
2019-08-19 18:54,BOg,Her Song,441929
2019-08-19 19:07,Huxley,Made Up My Mind - Extended Mix,276162
2019-08-19 19:11,Ant Wan,Mama,209411
2019-08-19 19:13,Blanco,Salomon Rondon,117582
2019-08-19 19:14,Legrand Bemba-Debert - Fatoumata Diawara,Voici mon village,99234
2019-08-20 06:45,JAY1,Your Mrs,23466
2019-08-20 06:53,Ant Wan,Mama,482666
2019-08-20 06:56,Kylie Minogue,Step Back in Time - Mousse T's E-Funk,181055
2019-08-20 14:00,Ant Wan,Mama,358233
2019-08-20 14:03,Jme,Man Don't Care,195122
2019-08-20 16:11,Headie One,Both,213586
2019-08-20 16:14,Ant Wan,Mama,209411
2019-08-20 16:19,Looptroop Rockers,Fever,302280
2019-08-20 16:21,JAY1,Your Mrs,128319
2019-08-20 18:33,Kollektiv Turmstrasse,Sorry I Am Late - Extended,373877
2019-08-20 18:46,Kollektiv Turmstrasse,Lüchttoorn,0
2019-08-20 18:46,Kollektiv Turmstrasse,Last Day - David August Revision,229568
2019-08-20 18:46,Kollektiv Turmstrasse,Sorry I Am Late - Extended,0
2019-08-20 18:52,Kollektiv Turmstrasse,Lüchttoorn,296714
