endTime,artistName,trackName,msPlayed
2020-06-25 11:48,George Michael,Freedom! '90 - Remastered,1950
2020-06-25 11:48,Banda Black Rio,Chega Mais (Imaginei Você Dançando),7846
2020-06-25 11:49,Cotonete,Parribean Disco,84241
2020-06-25 11:54,Brooklyn Funk Essentials,I Got Cash,291000
2020-06-25 11:56,George Michael,Freedom! '90 - Remastered,998
2020-06-25 11:56,Voilaaa,Des promesses,1578
2020-06-25 11:56,Laraaji,Hare Jaya Jaya Rama II,4109
2020-06-25 11:56,Sandra Cross,Dub Of Lies,114384
2020-06-25 11:56,Sworn Virgins,Fifty Dollar Bills - Radio Edit,1486
2020-06-25 11:58,Miles Davis,Flamenco Sketches,65828
2020-06-25 12:01,Monica Zetterlund,Sakta vi gå genom stan,202360
2020-06-25 12:04,Édith Piaf,La vie en rose,25326
2020-06-25 12:04,Nara Leão,O Sol Nascera,178800
2020-06-25 12:08,Édith Piaf,La Vie en rose,187733
2020-06-25 12:10,Édith Piaf,"Non, je ne regrette rien",142280
2020-06-25 12:12,Aretha Franklin,I'm in Love,103130
2020-06-25 12:15,Billie Holiday,This Is Heaven To Me,171106
2020-06-25 12:18,Édith Piaf,Padam padam,197626
2020-06-25 12:21,Yves Montand,Sous le ciel de Paris,177333
2020-06-25 12:24,Édith Piaf,Paris,162226
2020-06-25 12:25,Mouloudji,L'amour l'amour l'amour,62141
2020-06-25 12:27,Dusty Springfield,Spooky,164173
2020-06-25 12:29,John Denver,Annie's Song,84708
2020-06-25 12:33,Cream,White Room,2414
2020-06-25 12:33,The Doors,Riders on the Storm,281286
2020-06-25 12:37,Cream,Sunshine Of Your Love,189428
2020-06-25 13:47,Ant Wan,Mamacita,253654
2020-06-25 14:36,Kaah,Innan du går,87029
2020-06-25 20:23,Kontrollbehov,094. The Last of Us Part II,3916245
2020-06-25 20:25,Ant Wan,Mamacita,172458
2020-06-25 20:32,Ross from Friends,Talk to Me You'll Understand,417099
2020-06-25 20:34,Kanye West,Closed On Sunday,14848
2020-06-25 20:34,Édith Piaf,La Vie en rose,106730
2020-06-25 20:38,Édith Piaf,La Vie en rose,187733
2020-06-25 20:42,Gotan Project,Last tango in Paris,273692
2020-06-25 20:46,J. Cole,MIDDLE CHILD,213593
2020-06-25 20:49,BROCKHAMPTON,LOVE ME FOR LIFE,215013
2020-06-25 20:54,GZA,Liquid Swords,270800
2020-06-25 20:58,Frank Carter & The Rattlesnakes,Snake Eyes,257440
2020-06-25 21:01,MorMor,Waiting on the Warmth,24196
2020-06-25 21:01,Octavian,Papi Chulo,161667
2020-06-26 07:36,Ant Wan,Mamacita,185729
2020-06-26 07:39,Ant Wan,Annan Kaliber,107423
2020-06-26 07:45,RAY BLK,My Hood,372480
2020-06-26 07:49,Miriam Bryant,"Du Med Dig, Akustisk",256405
2020-06-26 07:52,Jireel,Chérie,155133
